mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
18	15	7/8	7/8	4/4	2	1	V64/vii					e	i		V64/vii	V		64		vii			M	1	1	4, 3, 7		3	4	1	3	0.25	0.0625	0.1875	0.25
19	16	0	0	4/4	2	1	V2/iv					e	i		V2/iv	V		2		iv			Mm7	1	1	2, 4, 8, 5		4	2	0	4	0.0	0.0	0.375	0.0
19	16	3/16	3/16	4/4	2	1	V7/iv					e	i		V7/iv	V		7		iv			Mm7	1	1	4, 8, 5, 2		4	4	1	2	0.3333333333333333	0.03125	0.09375	0.25
19	16	1/4	1/4	4/4	2	1	IV65/iv					e	i		IV65/iv	IV		65		iv			Mm7	1	1	6, 3, 0, 2		2	6	1	4	0.2	0.03125	0.21875	0.125
19	16	3/8	3/8	4/4	2	1	V65/iv					e	i		V65/iv	V		65		iv			Mm7	1	1	8, 5, 2, 4		4	8	1	4	0.2	0.03125	0.21875	0.125
19	16	1/2	1/2	4/4	2	1	iv					e	i		iv	iv							m	1	1	3, 0, 4		3	3	1	3	0.25	0.03125	0.21875	0.125
19	16	5/8	5/8	4/4	2	1	iv/iv					e	i		iv/iv	iv				iv			m	1	1	2, -1, 3		2	2	1	2	0.3333333333333333	0.0625	0.1875	0.25
19	16	3/4	3/4	4/4	2	1	V(64)/iv					e	i		V(64)/iv	V			64	iv			M	1	1	4, 3, 0		4	4	1	2	0.3333333333333333	0.0625	0.1875	0.25
19	16	7/8	7/8	4/4	2	1	V/iv					e	i		V/iv	V				iv			M	1	1	4, 8, 5		4	4	1	2	0.3333333333333333	0.0625	0.1875	0.25
20	17	0	0	4/4	2	1	iv					e	i		iv	iv							m	1	1	3, 0, 4		3	3	1	6	0.14285714285714285	0.0625	0.8125	0.07142857142857142
